% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=975419, Mon May 18 10:28:37 2015
1 100 9.66298041728e-07 1.00004989836 -296.945268916 -2.9694526891556382e+02 -295.183404687 -265.801668817   
1 100 9.65363564101e-07 1.00004989836 -296.686475315 -2.9668647531490092e+02 -293.608221993 -187.03510503   
1 100 9.66289564344e-07 1.00004989836 -297.025470515 -2.9702547051527705e+02 -295.624916289 -284.803048832   
1 100 9.66322239612e-07 1.00004989836 -296.859214212 -2.9685921421214579e+02 -295.404882645 -258.220594192   
2 200 9.40912851703e-07 1.01670678323 -296.893633326 -2.9689363332648890e+02 -296.37752898 -286.432065488   
2 200 9.38892728941e-07 1.01659578648 -296.974593337 -2.9697459333742091e+02 -296.419449295 -289.771217425   
2 200 9.38724843073e-07 1.01625392649 -296.99195822 -2.9699195821979737e+02 -295.633204032 -200.801910513   
2 200 9.39836645596e-07 1.01613769955 -297.0386958 -2.9703869579971416e+02 -296.411237204 -289.952246161   
3 300 9.18184800148e-07 1.01846717732 -297.338573377 -2.9733857337716239e+02 -296.70258971 -289.891807335   
3 300 9.17446500853e-07 1.01864562219 -297.12509793 -2.9712509792973532e+02 -295.94152861 -174.488859219   
3 300 9.21201048948e-07 1.01905260474 -297.129939939 -2.9712993993866286e+02 -296.713862642 -290.060851859   
3 300 9.1951885366e-07 1.01882737697 -297.229208596 -2.9722920859627891e+02 -296.677529092 -292.049685511   
4 400 8.98912369164e-07 1.02028772756 -297.201447251 -2.9720144725087482e+02 -296.514803159 -181.766683687   
4 400 9.06130161784e-07 1.02073674552 -297.337283628 -2.9733728362848171e+02 -296.906458598 -268.994614718   
4 400 9.01819455215e-07 1.02024933173 -297.338573377 -2.9726078002944053e+02 -296.974478293 -294.809156789   
4 400 9.04934271271e-07 1.02038292008 -297.333547218 -2.9733354721770860e+02 -296.903537084 -295.809677208   
5 500 8.8331655543e-07 1.0215318935 -297.220015744 -2.9722001574440350e+02 -296.326749226 -170.579001833   
5 500 8.95404068776e-07 1.02233767967 -297.433873497 -2.9743387349684411e+02 -297.133745995 -284.382531126   
5 500 8.89080395809e-07 1.02165882961 -297.435754474 -2.9743575447396381e+02 -297.123875715 -295.930292941   
5 500 8.95105786241e-07 1.02185906753 -297.569763394 -2.9756976339435943e+02 -297.164075664 -295.564258449   
6 600 8.70556475918e-07 1.02247139859 -297.319716503 -2.9731971650289228e+02 -296.662695125 -182.038324723   
6 600 8.88610078141e-07 1.02309157823 -297.626887652 -2.9762688765195236e+02 -297.299830693 -284.736375794   
6 600 8.80661846528e-07 1.02272552962 -297.553367022 -2.9755336702232898e+02 -297.282020653 -296.759210972   
6 600 8.89270993023e-07 1.02352512827 -297.582031099 -2.9758203109934431e+02 -297.345666133 -294.230356782   
7 700 8.61488052298e-07 1.02396807699 -297.443287625 -2.9744328762546746e+02 -296.892042007 -190.876741602   
7 700 8.86144116744e-07 1.02457014169 -297.757436225 -2.9775743622455968e+02 -297.450381761 -296.250928603   
7 700 8.75623362372e-07 1.02370318507 -297.753236631 -2.9775323663084339e+02 -297.436629669 -295.122048864   
7 700 8.86070502703e-07 1.02490837138 -297.723409943 -2.9772340994287725e+02 -297.450438118 -294.404556715   
8 800 8.55411861275e-07 1.02527189452 -297.484467116 -2.9748446711630811e+02 -297.006803168 -195.890929987   
8 800 8.86921341011e-07 1.02597847346 -297.823457281 -2.9782345728141286e+02 -297.592328858 -285.134326861   
8 800 8.7346658223e-07 1.02576031906 -297.860204905 -2.9786020490483475e+02 -297.542651225 -297.013975845   
8 800 8.8504205753e-07 1.02623068504 -297.844004009 -2.9784400400898227e+02 -297.612589067 -296.838446729   
9 900 8.50745270839e-07 1.02669208978 -297.563203993 -2.9756320399331247e+02 -297.05721036 -184.72032273   
9 900 8.89407503874e-07 1.02744806552 -297.866813997 -2.9786681399706885e+02 -297.677163134 -275.13605163   
9 900 8.74746790652e-07 1.02698936234 -297.906043262 -2.9790604326178226e+02 -297.703109401 -297.074471924   
9 900 8.86982352097e-07 1.02787037498 -298.07936262 -2.9807936261961277e+02 -297.713278901 -295.160569687   
10 1000 8.46228303983e-07 1.02791252483 -297.700792243 -2.9770079224316811e+02 -297.195452712 -178.653667896   
10 1000 8.93698429408e-07 1.02844209292 -298.079504103 -2.9807950410263544e+02 -297.771153562 -295.436021759   
10 1000 8.91434779108e-07 1.02930506272 -298.07936262 -2.9806730008780255e+02 -297.810214797 -297.264260437   
10 1000 8.78554029378e-07 1.02803053384 -298.053867817 -2.9805386781671933e+02 -297.790300025 -296.602395879   
