%  columns="iteration, evaluation, sigma, max axis length,  min axis length, all principle axes lengths  (sorted square roots of eigenvalues of C)", seed=335390, Tue Apr 28 15:27:11 2015
0 0 20 1.00002500031 1.0 1.0 1.00002500031
1 30 20.2801874914 1.00002500031 1.0 1.0 1.00002500031
2 60 17.5573203481 0.901827770763 0.637373127629 0.637373127629 0.901827770763
3 90 15.9044164783 0.737471089793 0.379814708807 0.379814708807 0.737471089793
4 120 14.2796252467 0.636120191506 0.242599157744 0.242599157744 0.636120191506
5 150 12.6932048361 0.670466474124 0.125139171944 0.125139171944 0.670466474124
6 180 12.2428001395 0.717537429929 0.0707474479163 0.0707474479163 0.717537429929
7 210 9.81224129715 0.658072787179 0.04014304271 0.04014304271 0.658072787179
8 240 10.2751091157 0.562348431536 0.0204934569331 0.0204934569331 0.562348431536
9 270 10.8507072268 0.529450359369 0.0114822603684 0.0114822603684 0.529450359369
10 300 10.1286407883 0.536814315936 0.00541120249744 0.00541120249744 0.536814315936
