% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=738937, Tue Apr 21 17:35:44 2015
1 30 3.93448521164 1.00004989836 -2540.68690385 -2.5406869038472068e+03 -1788.03233303 -318.093286005   
2 60 3.87656626552 1.00004989836 -2588.67854767 -2.5886785476730765e+03 -2049.8886638 -376.42215472   
3 90 3.8250534722 1.00004989836 -2715.63597429 -2.7156359742919808e+03 -2253.30457852 973.914870602   
4 120 3.77742867764 1.00004989836 -2715.63597429 -2.6734225396350844e+03 -2348.7165459 -380.378555063   
5 150 3.73384998072 1.01636807105 -2715.63597429 -2.6938553926139380e+03 -2428.73258572 -431.731227664   
6 180 3.69374441982 1.01636807105 -2738.50013239 -2.7385001323874985e+03 -2427.92212175 40.9314070178   
7 210 3.65627786127 1.01636807105 -2738.50013239 -2.7041335481538058e+03 -2474.66568079 -453.627077236   
8 240 3.62112879945 1.01636807105 -2738.50013239 -2.7182404702765934e+03 -2559.21895193 -537.883208536   
9 270 3.58872172549 1.0189742762 -2738.50013239 -2.7008277911166592e+03 -2438.6691009 -519.631870203   
10 300 3.55776321245 1.0189742762 -2738.50013239 -2.7355098456629762e+03 -2421.20570996 784.360254474   
